term,estimate,std.error,statistic,p.value
(Intercept),0.8004564539625657,0.5205477837685594,1.5377194542402595,0.12427238169539306
priorityBehavioural Failure,-0.19843767220121103,0.21636097701502263,-0.9171601780455672,0.35916717685811517
priorityBest Practice,0.17677169361792117,0.37013127929649914,0.4775918802482932,0.6329919016723966
priorityHigh,0.05494820779784117,0.4140289512862582,0.13271585870295857,0.8944311957260089
priorityHigh (resolve within 48 hours),-0.3278144499614846,1.188717448898336,-0.2757715471117987,0.7827514835997396
priorityLow,0.8098573382299478,0.5597504751105069,1.4468184918825917,0.14810147483045114
priorityLow (resolve within 2 weeks),-1.0411382524927557,1.2104326049923522,-0.8601373163599917,0.3898144734211135
priorityMedium,0.12527722427068905,0.4043903348907595,0.3097928250548594,0.756750164803793
priorityMedium (resolve within 5 days),-1.4058956648582568,1.8094090264222389,-0.7769916278345019,0.4372538394423211
prioritySystem Failure,0.022962828048006503,0.2175259890902427,0.10556360710756339,0.9159389841705934
prioritySystem Failure - Deviation from RAMS / Manufacturer Instructions,-0.032321683470947445,0.29166868807010754,-0.11081643245564425,0.9117728206170761
causeJPC - Communication / Information Issue,-0.5528777989889233,0.693503223683082,-0.7972245551400322,0.42541345048584134
causeJPC - General - Management,-0.5539396770305527,0.44294992195140226,-1.2505695329851023,0.21123506051059274
causeJPC - Program - 1 Materials,-0.16851181590196013,0.4025063197120114,-0.41865632326600083,0.6755114132176885
causeJPC - Program - 10 Equipment,-1.5520353885676181,1.133128698365459,-1.3696903015574782,0.17093441410694885
causeJPC - Program - 11 Scheduling,5.068995535832489,1.6039647464069648,3.160291114369892,0.001599244133145127
causeJPC - Program - 4 Pre-requisite Work,4.4326327744373915,1.5781995115883818,2.8086643937534617,0.005022150041217627
causeJPC - Program - 5 Weather,-1.1465702804595665,1.1331286983655025,-1.0118623613658828,0.31172392345316785
causeJPC - Program - 6 Information,3.5728863087054,1.6039647464069633,2.227534187836118,0.026020349997676787
causeJPC - Quality - Damage,-0.47131737694824394,0.3482355035771036,-1.3534443562096148,0.17606373225359165
causeJPC - Quality - Information,0.24068179853005411,0.40118698403236713,0.5999242450762966,0.548623385639031
causeJPC - Quality - Management,0.06601432954828114,0.35996437669980963,0.18339128486409487,0.8545092473761582
causeJPC - Quality - Materials,-0.1262608339261325,0.32748670791790097,-0.3855449118190939,0.699873956037149
causeJPC - Quality - Workmanship,-0.2053154964627568,0.3269198618750157,-0.628030047746841,0.5300545881173473
causeJPC - Safety - Access,-0.47264200400101025,0.2810014000292998,-1.6819916340335963,0.09272358515634055
causeJPC - Safety - Barrier Control,-0.34514706671185313,0.5650549459340513,-0.6108203621531276,0.5413865923423247
causeJPC - Safety - Cuts / Lacerations,-1.2400537413144836,0.8264792767048336,-1.5004051235967686,0.13366431404104273
causeJPC - Safety - Demolition,-0.25564617620792224,0.6145782238142422,-0.41597011788232824,0.6774756449695002
causeJPC - Safety - Documentation,-0.14004697154833562,0.34237979415715025,-0.40903982635159514,0.6825533932263702
causeJPC - Safety - Electrical,-0.8645023401106411,0.3504541251844612,-2.466806003940205,0.013714087897607743
causeJPC - Safety - Environemental,0.1715072274226539,0.8270698459660916,0.20736728374169913,0.8357437383221552
causeJPC - Safety - Environmental,-0.43438383928209395,0.3123585975689529,-1.390657541245376,0.16448105021952608
causeJPC - Safety - Excavations,-1.0803792109030452,0.34123295171688717,-3.166104578901894,0.001567778125067258
causeJPC - Safety - Exclusion Zones,-0.5788164904109181,0.2992663508828558,-1.934118181691228,0.05323681588972999
causeJPC - Safety - House Keeping,-0.4860097832704483,0.2799488264586107,-1.7360665140787896,0.08270312893890322
causeJPC - Safety - Ladders,-1.293651293953598,0.4768191806969864,-2.7130856859881645,0.00672204181863512
causeJPC - Safety - Lead Management,-0.878222383557894,0.34751049552297225,-2.527182329374679,0.011573212906685906
causeJPC - Safety - Lifting / Slinging,-0.6311064144478793,0.3488873354160391,-1.8089117900920686,0.07061194286236772
causeJPC - Safety - Management,-0.3659900174658884,0.3241522073784856,-1.1290684102562727,0.25900179211821256
causeJPC - Safety - Plant & Equipment,-0.09277561723841037,0.3264572661054856,-0.28418916308768116,0.7762942757815824
causeJPC - Safety - Plant & People Interface,-0.5377988217376461,0.37467011075833573,-1.4353929131126484,0.15132854004053256
causeJPC - Safety - PPE,-0.49430255909953486,0.38496973144280033,-1.2840036988024328,0.199286541539097
causeJPC - Safety - Public Interface / Hoarding,-3.543632005444265e-5,0.3844522707385109,-9.217352257114127e-5,0.9999264651861213
causeJPC - Safety - Scaffolding,-0.5823946521931092,0.30106367788285465,-1.9344567112467208,0.053195188385346044
causeJPC - Safety - Slips / Trips / Falls,-0.4778112928229327,0.6185011441623336,-0.772530976430215,0.43988954253875034
causeJPC - Safety - Storage,-0.5819248124838668,0.29053504131872027,-2.0029419165500544,0.045315676917418064
causeJPC - Safety - Temporary Electrics,-0.2890874624799737,0.340030613080641,-0.8501806936171782,0.3953244515928379
causeJPC - Safety - Temporary Works,-0.4282804490204103,0.4597298682861783,-0.9315915248600054,0.35165795283267975
causeJPC - Safety - WAH Equipment,-1.147242331696281,0.5261537094443132,-2.180431898708684,0.029339441776333176
causeJPC - Safety - Welfare Facilities,-0.5689719351151551,0.32798446636060674,-1.7347526894447238,0.08293573206441061
causeJPC - Safety - Working At Height,-0.24330697601991597,0.3097559251331203,-0.7854796511651962,0.4322636569549957
causeJPC - Safey - Access,-0.6136319614899425,0.385579599511663,-1.5914533918991256,0.11166258770334005
task_groupSafety,1.4799156079480904,0.30319417452268316,4.881081934631208,1.1369712913043648e-6
task_groupSite Management,NA,NA,NA,NA
typeJPC - Quality Snag (aesthetic),1.7821496666777488,0.21569888974548432,8.262210662190292,2.541972520276375e-16
typeProgram Constraint Task (Last Planner),NA,NA,NA,NA
typeQuality - Defect (compliance),1.758011144616645,0.33898206890403476,5.186147899505372,2.359379379458227e-7
typeQuality - Snag (aesthetic),1.7924152409855318,0.25856269546210964,6.932226776883197,5.538145798636596e-12
typeSafety Notice (Amber) - General Issue,-0.05815232083096353,0.3420192417389026,-0.17002645972578642,0.8650061952972316
typeSafety Notice (Green) - Good Observation,-2.0008183417780128,0.30896846309862463,-6.475801192496916,1.1784585001616844e-10
typeSafety Notice (Red) - Serious Issue,NA,NA,NA,NA
